spatial_resolution [arcsec],integration_time [s],velocity_resolution [Km/s],J2000 coordinates,frequency_resolution [MHz]
3.2538325741967435,36.288,1.0043474041072444,J2000 16h40m42.40800001s -47d35m59.64000008s,0.294
3.2538325741967435,36.288,1.0043474041072444,J2000 16h40m42.40800001s -47d35m59.64000008s,0.294
3.2538325741967435,36.288,1.0043474041072444,J2000 16h40m42.40800001s -47d35m59.64000008s,0.294
3.293353043265759,42.336,1.0043234240068533,J2000 13h19m01.56s -61d43m04.08s,0.294
3.293353043265759,42.336,1.0043234240068533,J2000 13h19m01.56s -61d43m04.08s,0.294
3.293353043265759,42.336,1.0043234240068533,J2000 13h19m01.56s -61d43m04.08s,0.294
3.293353043265759,42.336,1.0043234240068533,J2000 13h19m01.56s -61d43m04.08s,0.294
3.2900939944875787,42.336,1.0043234240068533,J2000 13h19m04.704s -61d38m53.88s,0.294
0.6713082760732219,96.768,35.5980687755014,J2000 10h00m30.26999999s +01d47m54.17s,31.25
0.6713082760732219,96.768,35.5980687755014,J2000 10h00m30.26999999s +01d47m54.17s,31.25
0.7065073846553559,211.68,34.31592021748462,J2000 11h49m28.239312s +22d23m02.02848s,31.25
0.7065073846553559,211.68,34.31592021748462,J2000 11h49m28.239312s +22d23m02.02848s,31.25
0.7065073846553559,211.68,34.31592021748462,J2000 11h49m28.239312s +22d23m02.02848s,31.25
0.7065684558630309,211.68,34.31592021748462,J2000 11h49m44.883312s +22d25m09.17328s,31.25
0.7065684558630309,211.68,34.31592021748462,J2000 11h49m44.883312s +22d25m09.17328s,31.25
0.7065684558630309,211.68,34.31592021748462,J2000 11h49m44.883312s +22d25m09.17328s,31.25
0.7065684558630309,211.68,34.31592021748462,J2000 11h49m44.883312s +22d25m09.17328s,31.25
3.30219177127892,36.288,1.0043401363940982,J2000 16h44m01.63200001s -45d10m39.36000012s,0.294
3.30219177127892,36.288,1.0043401363940982,J2000 16h44m01.63200001s -45d10m39.36000012s,0.294
3.260791834747826,36.288,1.0043401363940982,J2000 16h40m09.04800001s -45d12m39.96000011s,0.294
3.260791834747826,36.288,1.0043401363940982,J2000 16h40m09.04800001s -45d12m39.96000011s,0.294
3.260791834747826,36.288,1.0043401363940982,J2000 16h40m09.04800001s -45d12m39.96000011s,0.294
3.260791834747826,36.288,1.0043401363940982,J2000 16h40m09.04800001s -45d12m39.96000011s,0.294
