    um                erg/s/Hz
    4.010514e-04      1.876041e-37
    4.032738e-04      1.953285e-37
    4.055085e-04      2.033708e-37
    4.077557e-04      2.117443e-37
    4.100152e-04      2.204626e-37
    4.122873e-04      2.295398e-37
    4.145720e-04      2.389908e-37
    4.168694e-04      2.488309e-37
    4.191795e-04      2.590761e-37
    4.215023e-04      2.697432e-37
    4.238381e-04      2.808495e-37
    4.261868e-04      2.924130e-37
    4.285485e-04      3.044527e-37
    4.309233e-04      3.169881e-37
    4.333113e-04      3.300396e-37
    4.357125e-04      3.436285e-37
    4.381270e-04      3.577769e-37
    4.405549e-04      3.725078e-37
    4.429962e-04      3.878453e-37
    4.454511e-04      4.038142e-37
    4.479195e-04      4.204407e-37
    4.504017e-04      4.377517e-37
    4.528976e-04      4.557755e-37
    4.554073e-04      4.745414e-37
    4.579310e-04      4.940799e-37
    4.604686e-04      5.144230e-37
    4.630203e-04      5.356036e-37
    4.655861e-04      5.576563e-37
    4.681661e-04      5.806169e-37
    4.707605e-04      6.045230e-37
    4.733692e-04      6.294133e-37
    4.759924e-04      6.553285e-37
    4.786301e-04      6.823107e-37
    4.812824e-04      7.104038e-37
    4.839494e-04      7.396536e-37
    4.866313e-04      7.701078e-37
    4.893279e-04      8.018158e-37
    4.920395e-04      8.348294e-37
    4.947662e-04      8.692023e-37
    4.975079e-04      9.049904e-37
    5.002649e-04      9.422521e-37
    5.030371e-04      9.810479e-37
    5.058247e-04      1.021441e-36
    5.086277e-04      1.063497e-36
    5.114463e-04      1.107285e-36
    5.142804e-04      1.152876e-36
    5.171303e-04      1.200344e-36
    5.199960e-04      1.249767e-36
    5.228776e-04      1.301224e-36
    5.257751e-04      1.354800e-36
    5.286887e-04      1.410582e-36
    5.316184e-04      1.468660e-36
    5.345644e-04      1.529130e-36
    5.375266e-04      1.592090e-36
    5.405054e-04      1.657642e-36
    5.435006e-04      1.725893e-36
    5.465124e-04      1.796954e-36
    5.495409e-04      1.870941e-36
    5.525862e-04      1.947974e-36
    5.556483e-04      2.028179e-36
    5.587274e-04      2.111687e-36
    5.618236e-04      2.198632e-36
    5.649370e-04      2.289158e-36
    5.680676e-04      2.383410e-36
    5.712155e-04      2.481544e-36
    5.743809e-04      2.583718e-36
    5.775638e-04      2.690098e-36
    5.807644e-04      2.800859e-36
    5.839827e-04      2.916180e-36
    5.872189e-04      3.036250e-36
    5.904729e-04      3.161263e-36
    5.937450e-04      3.291423e-36
    5.970353e-04      3.426943e-36
    6.003438e-04      3.568042e-36
    6.036706e-04      3.714951e-36
    6.070158e-04      3.867909e-36
    6.103796e-04      4.027164e-36
    6.137620e-04      4.192977e-36
    6.171632e-04      4.365616e-36
    6.205832e-04      4.545364e-36
    6.240221e-04      4.732513e-36
    6.274802e-04      4.927367e-36
    6.309573e-04      5.130244e-36
    6.344538e-04      5.341474e-36
    6.379696e-04      5.561402e-36
    6.415049e-04      5.790384e-36
    6.450598e-04      6.028795e-36
    6.486344e-04      6.277022e-36
    6.522288e-04      6.535469e-36
    6.558432e-04      6.804557e-36
    6.594775e-04      7.084725e-36
    6.631320e-04      7.376428e-36
    6.668068e-04      7.680141e-36
    6.705019e-04      7.996360e-36
    6.742175e-04      8.325598e-36
    6.779536e-04      8.668392e-36
    6.817105e-04      9.025301e-36
    6.854882e-04      9.396904e-36
    6.892869e-04      9.783808e-36
    6.931065e-04      1.018664e-35
    6.969474e-04      1.060606e-35
    7.008095e-04      1.104275e-35
    7.046931e-04      1.149742e-35
    7.085981e-04      1.197081e-35
    7.125248e-04      1.246369e-35
    7.164733e-04      1.297686e-35
    7.204436e-04      1.351117e-35
    7.244360e-04      1.406747e-35
    7.284504e-04      1.464668e-35
    7.324871e-04      1.524973e-35
    7.365462e-04      1.587762e-35
    7.406278e-04      1.653135e-35
    7.447320e-04      1.721201e-35
    7.488589e-04      1.792069e-35
    7.530087e-04      1.865855e-35
    7.571815e-04      1.942678e-35
    7.613774e-04      2.022665e-35
    7.655966e-04      2.105946e-35
    7.698392e-04      2.192655e-35
    7.741052e-04      2.282934e-35
    7.783949e-04      2.376931e-35
    7.827084e-04      2.474797e-35
    7.870458e-04      2.576693e-35
    7.914072e-04      2.682785e-35
    7.957928e-04      2.793245e-35
    8.002027e-04      2.908252e-35
    8.046370e-04      3.027995e-35
    8.090959e-04      3.152669e-35
    8.135795e-04      3.282475e-35
    8.180880e-04      3.417626e-35
    8.226214e-04      3.558342e-35
    8.271800e-04      3.704851e-35
    8.317638e-04      3.857393e-35
    8.363730e-04      4.016216e-35
    8.410078e-04      4.181577e-35
    8.456682e-04      4.353748e-35
    8.503545e-04      4.533007e-35
    8.550667e-04      4.719647e-35
    8.598051e-04      4.913971e-35
    8.645697e-04      5.116297e-35
    8.693607e-04      5.326953e-35
    8.741783e-04      5.546282e-35
    8.790225e-04      5.774642e-35
    8.838936e-04      6.012405e-35
    8.887917e-04      6.259957e-35
    8.937170e-04      6.517701e-35
    8.986695e-04      6.786058e-35
    9.036495e-04      7.065464e-35
    9.086570e-04      7.356374e-35
    9.136924e-04      7.659262e-35
    9.187556e-04      7.974621e-35
