ALMA_source_name,Band
L1448,6
J2258-2758,6
J0334-401,6
sn1987a,7
J1924-292,7
J0348-2749,7
J0348-2749,7
J1617-5848,6
BN,7
J0519-454,7
J0334-401,3
Ganymede,3
J2258-2758,3
J2258-2758,3
J0241-0815,3
XMM_30,3
XMM_76,3
XMM_76,3
J1215-1731,3
Ceres,3
HELMS_34,3
J0006-0623,3
Neptune,3
J0006-0623,3
J0006-0623,3
KMOS3D_U3_23710,3
KMOS3D_GS3_7562,3
J0334-4008,3
J0607-0834,3
J0334-401,6
J1733-130,6
NGC_6861,6
J2258-2758,6
GOODS-H_6789,7
J0519-454,6
J0519-454,6
sn1987a,6
sn1987a,6
J0635-7516,6
J0635-7516,6
J0519-454,6
J1751+096,6
J1751+0939,6
J0217+0144,3
J2357-5311,7
J0334-401,7
GS_AGN9,7
J0635-7516,6
J0635-7516,6
Orion_Bar,7
J0825+0309,4 6 7
J0510+1800,3
J0334-4008,3
J0750+1231,6
HL_Tau,6
HL Tau,3
J0241-0815,6
J0423-0120,7
J1911-2006,7
J0501-0159,3
J0511-6806,6
J1107-4449,3
J1058+0133,6
J0058-5219,6
J0522-3627,7
Neptune,6
J0607-0834,6
J0541-0541,3
J0334-4008,3
J0511-6806,3
J0825+0309,6
Uranus3,6
Callisto,3
midz_cell8_102386,7
J0501-0159,3
J0854+2006,3
J0750+1231,3
J0854+201,3
IRC+10216,3
IRC+10216,3
J0145-2733,3
J0427-0700,3
J0348-2749,3
J1037-295,3
J1037-2934,3
DDO_155,3
J1427-4206,3
Titan,3
J1744-3116,3
J1700-2610,3
m83,3
J2148+0657,3
MagBridge_A,3
J1752-2956,3
Mars,3
J1744-3116,3
J2219-0051,3
J2357-5311,3
MagBridge_A,6
J0423-0120,6
J0238+166,3
J0348-2749,3
J0423-013,6
Target_8,3
NGC1808,3
Leo_P,3
J1107-4449,6
A1689-zD1,6
Ganymede,6
J1256-0547,6
J1037-2934,6
J1058+0133,6
J1058+0133,6
Uranus,6
DCL88-68,6
AzTECC105,6
MS0451,6
Callisto,6
Callisto,6
Callisto,6
J1342-2900,6
J0051-4226,3
J0423-013,7
Uranus,6
NY_Ori,6
J0423-0120,7
Ganymede,7
J0854+2006,8
IC_2560,9
J1229+0203,7
J0334-4008,6
J0538-4405,7
Ganymede,7
J1229+0203,7
J1058+0133,7
J1159+2914,7
J1058+0133,7
J0423-0120,6
J0522-364,7
J0607-0834,7
J1216-1033,6
J1037-2934,6
J0635-7516,6
J1058+015,7
J0635-7516,3
J0348-2749,6
J1107-4449,3
Ganymede,3
J1337-1257,3
tau_Ceti,6
Mars,3
J0607-0834,6
Uranus,3
J0348-2749,3
J0538-4405,3
J0519-4546,3
J1408-5712,6
J0339-0146,7
J0334-401,3
J1058+0133,7
TW_Hya,7
IM_Lup,7
NGC1068,3
R_Scl,7
J0423-0120,6
26318,6
Titan,4
rmc_143,7
zC401417,7
J2258-2758,3
J0239+0416,3
Uranus,3
L1544,6
Mars,3
G191.51-0.76,3
SDSS_J0901+1814,6
J11112820-2655027,6
J1146-2859,6
Ganymede,3
J1427-4206,3
Uranus,6
J0334-4008,4
J0238+166,4
J0519-4546,3
Target_4,3
J12074836-3900043,6
J1315-5334,6
Titan,6
J1627-2426,4
J0116-2052,3
J0058-5219,3
8_OClock_Arc,6
Uranus,6
J0541-0541,6
J0423-0120,6
J0423-013,6
Callisto,6
J2357-5311,3
Ganymede,6
J0334-401,6
J0239-0234,6
J1037-2934,7
IC_2560,7
J2258-2758,3
J1058+0133,7
J1550+0527,7
J0334-4008,6
MC27,6
J0522-3627,7
J1010-0200,7
CS_AGN23,7
CS_AGN5,7
VLA1623A,6
J0110-0741,6
J0510+1800,7
J0510+180,7
GS_AGN23,7
J2357-5311,6
Titan,7
IRAS04368+2557,6
J1337-1257,6
J1517-2422,6
VLA1623A,6
G337.8442-00.3748,6
Mars,3
J2253+1608,6
J0334-4008,6
J0334-4008,6
J0334-401,6
J0909+0121,7
Cosmic_Horseshoe,6
J1254-4424,6
RXCJ1504.1-0248,3
Mars,3
J1733-1304,4
IRDC-D3,6
Uranus,6
J2151-2742,6
NGC1808,3
J0517-0520,4
J0423-0120,4
J0305-3150,3
J0519-454,3
J1037-2934,3
J1107-4449,3
J1342-2900,3
XMMU_J2235-2557,3
Circinus,3
GMC225,3
J1256-0547,6
J1037-2934,6
J0423-013,3
NGC1365,6
J0538-4405,6
G302.0213+00.2542,6
M74,6
J1229+0203,3
J0334-4008,3
J0510+180,3
3FGL_J0505.3+0459,6
3FGL_J0515.3-4557,6
NGC4418,6
Centaurus_A,3
HOPS_186,6
J0334-401,6
J0519-4546,6
J1037-2934,6
J0635-7516,6
J1107-4449,6
ad3a-04373,3
ad3a-04006,3
J1924-2914,3
005527,3
ngc628,3
Mars,3
J0336-1302,6
HOPS_171,6
Ganymede,6
Ganymede,6
ad3a-04307,3
J1427-4206,3
J1617-5848,4
L183_CC,4
L1689B,4
J2148+0657,3
N83C,6
Mars,3
J1229+0203,3
ad3a-04513,3
ad3a-04141,3
J0423-013,3
N171,3
J1107-4449,3
ngc628,3
J1229+0203,3
Ganymede,3
N206D,3
N166,3
HATLAS_J085753.1+012332,3
HATLAS_J090940.8-002757,3
HH46-47,3
Callisto,3
Callisto,3
J1256-0547,3
J1625-2527,6
Mars,3
N206,3
J0909+0121,3
N159W,3
HOT2_EI_CII_G09.v2.111,3
J1058+0133,3
J1229+0203,3
J1256-0547,3
J0034-0054,3
N132D,3
HOT2_EI_CII_G09.v2.48,3
N159E,3
HOT2_EI_CII_G09.v2.45,3
3FGL_J0050.4-0449,6
HOT2_EI_CII_G09.v2.107,3
HOT2_EI_CII_G09.v2.137,3
J1617-5848,3
J1256-0547,3
Uranus,6
Titan,3
J1751+0939,4
SgrB2,3
J1427-4206,3
Titan,6
J1145-6954,6
J0519-4546,3
Ganymede,6
3FGL_J1607.0+1551,6
J1610-3958,6
J1550+0527,6
J0538-4405,6
3FGL_J1016.0+0513,6
3FGL_J1037.0-2934,6
3FGL_J0805.0-0622,6
Callisto,6
Callisto,6
3FGL_J1330.0-3818,6
MMS5,7
J1107-4449,3
Pallas,3
J1751+0939,3
MMS4,7
Callisto,7
J0750+1231,3
J1700-261,6
J0750+1231,3
J1037-2934,3
J0423-0120,7
J1058+015,3
J1911-201,6
J2258-2758,6
J1851+0035,7
J1516+1932,3
J1625-2527,7
J1550+0527,4
ROph50,7
J1625-2527,7
Titan,7
J0423-0120,3
J1517-2422,7
Titan,6
J1851+0035,6
J1924-2914,6
J2357-5311,6
M83,3
Titan,7
J1256-0547,3
Titan,7
Serpens_Emb6,6
Titan,6
J1743-3058,6
NTT474,6
Ceres,3
J0334-4008,4
J0750+1231,4
J1107-4449,7
BR1202,6
HATLAS_J142413.9+022304,6
Titan,7
Titan,7
J0519-4546,4
J0334-401,4
J0635-7516,6
J1058+0133,6
HH46-47,3
J1256-0547,3
J1256-0547,6
Titan,7
61_Vir,7
Titan,6
J1625-2527,7
J0608-5456,6
J1145-6954,6
Sgr_A_star,3
Pallas,3
J1717-3342,3
Orion_Integral,3
J1707+0148,3
J1717-3342,3
J1717-3342,3
J1733-1304,3
J1924-2914,3
3c454.3,3
J0210-5101,3
J1717-3342,3
Cha-MMS1,3
J0334-4008,3
J1256-0547,6
L328-IRS,6
Titan,7
J1924-2914,7
Titan,6
J1427-4206,6
G332.8254,6
J1752-2956,6
J1642+3948,6
J1922+1530,6
Neptune,6
Ganymede,6
J1733-1304,3
J1256-0547,3
J1256-0547,3
G305.136+0.068,3
SPT0346-52,4
J1717-3342,3
Cha-MMS1,3
