    um                erg/s/Hz  
    3.473762e-04      1.145987e-21
    3.493011e-04      1.152351e-21
    3.512368e-04      1.158750e-21
    3.531832e-04      1.165184e-21
    3.551403e-04      1.171653e-21
    3.571083e-04      1.178158e-21
    3.590873e-04      1.184698e-21
    3.610771e-04      1.191274e-21
    3.630781e-04      1.197885e-21
    3.650901e-04      1.204533e-21
    3.671132e-04      1.211217e-21
    3.691476e-04      1.217938e-21
    3.711932e-04      1.224695e-21
    3.732502e-04      1.231489e-21
    3.753185e-04      1.238320e-21
    3.773984e-04      1.245188e-21
    3.794897e-04      1.252094e-21
    3.815926e-04      1.259037e-21
    3.837072e-04      1.266018e-21
    3.858336e-04      1.273038e-21
    3.879717e-04      1.280095e-21
    3.901216e-04      1.287191e-21
    3.922835e-04      1.294325e-21
    3.944573e-04      1.301499e-21
    3.966432e-04      1.308711e-21
    3.988412e-04      1.315963e-21
    4.010514e-04      1.323254e-21
    4.032738e-04      1.330584e-21
    4.055085e-04      1.337955e-21
    4.077557e-04      1.345365e-21
    4.100152e-04      1.352816e-21
    4.122873e-04      1.360307e-21
    4.145720e-04      1.367840e-21
    4.168694e-04      1.375412e-21
    4.191795e-04      1.383026e-21
    4.215023e-04      1.390682e-21
    4.238381e-04      1.398379e-21
    4.261868e-04      1.406117e-21
    4.285485e-04      1.413898e-21
    4.309233e-04      1.421721e-21
    4.333113e-04      1.429586e-21
    4.357125e-04      1.437494e-21
    4.381270e-04      1.445445e-21
    4.405549e-04      1.453439e-21
    4.429962e-04      1.461476e-21
    4.454511e-04      1.469557e-21
    4.479195e-04      1.477681e-21
    4.504017e-04      1.485850e-21
    4.528976e-04      1.494062e-21
    4.554073e-04      1.502319e-21
    4.579310e-04      1.510621e-21
    4.604686e-04      1.518968e-21
    4.630203e-04      1.527359e-21
    4.655861e-04      1.535797e-21
    4.681661e-04      1.544279e-21
    4.707605e-04      1.552808e-21
    4.733692e-04      1.561383e-21
    4.759924e-04      1.570004e-21
    4.786301e-04      1.578671e-21
    4.812824e-04      1.587385e-21
    4.839494e-04      1.596147e-21
    4.866313e-04      1.604955e-21
    4.893279e-04      1.613812e-21
    4.920395e-04      1.622715e-21
    4.947662e-04      1.631667e-21
    4.975079e-04      1.640668e-21
    5.002649e-04      1.649716e-21
    5.030371e-04      1.658814e-21
    5.058247e-04      1.667960e-21
    5.086277e-04      1.677156e-21
    5.114463e-04      1.686401e-21
    5.142804e-04      1.695696e-21
    5.171303e-04      1.705041e-21
    5.199960e-04      1.714436e-21
    5.228776e-04      1.723882e-21
    5.257751e-04      1.733379e-21
    5.286887e-04      1.742927e-21
    5.316184e-04      1.752526e-21
    5.345644e-04      1.762176e-21
    5.375266e-04      1.771879e-21
    5.405054e-04      1.781633e-21
    5.435006e-04      1.791440e-21
    5.465124e-04      1.801300e-21
    5.495409e-04      1.811212e-21
    5.525862e-04      1.821178e-21
    5.556483e-04      1.831197e-21
    5.587274e-04      1.841270e-21
    5.618236e-04      1.851397e-21
    5.649370e-04      1.861579e-21
    5.680676e-04      1.871814e-21
    5.712155e-04      1.882105e-21
    5.743809e-04      1.892451e-21
    5.775638e-04      1.902852e-21
    5.807644e-04      1.913309e-21
    5.839827e-04      1.923822e-21
    5.872189e-04      1.934391e-21
    5.904729e-04      1.945016e-21
    5.937450e-04      1.955699e-21
    5.970353e-04      1.966439e-21
    6.003438e-04      1.977236e-21
    6.036706e-04      1.988090e-21
    6.070158e-04      1.999003e-21
    6.103796e-04      2.009974e-21
    6.137620e-04      2.021004e-21
    6.171632e-04      2.032093e-21
    6.205832e-04      2.043240e-21
    6.240221e-04      2.054448e-21
    6.274802e-04      2.065715e-21
    6.309573e-04      2.077042e-21
    6.344538e-04      2.088429e-21
    6.379696e-04      2.099878e-21
    6.415049e-04      2.111387e-21
    6.450598e-04      2.122958e-21
    6.486344e-04      2.134590e-21
    6.522288e-04      2.146284e-21
    6.558432e-04      2.158041e-21
    6.594775e-04      2.169860e-21
    6.631320e-04      2.181742e-21
    6.668068e-04      2.193687e-21
    6.705019e-04      2.205696e-21
    6.742175e-04      2.217769e-21
    6.779536e-04      2.229906e-21
    6.817105e-04      2.242107e-21
    6.854882e-04      2.254373e-21
    6.892869e-04      2.266705e-21
    6.931065e-04      2.279102e-21
    6.969474e-04      2.291565e-21
    7.008095e-04      2.304094e-21
    7.046931e-04      2.316689e-21
    7.085981e-04      2.329351e-21
    7.125248e-04      2.342081e-21
    7.164733e-04      2.354878e-21
    7.204436e-04      2.367743e-21
    7.244360e-04      2.380676e-21
    7.284504e-04      2.393678e-21
    7.324871e-04      2.406748e-21
    7.365462e-04      2.419888e-21
    7.406278e-04      2.433098e-21
    7.447320e-04      2.446377e-21
    7.488589e-04      2.459727e-21
    7.530087e-04      2.473147e-21
    7.571815e-04      2.486638e-21
    7.613774e-04      2.500201e-21
    7.655966e-04      2.513836e-21
    7.698392e-04      2.527542e-21
    7.741052e-04      2.541321e-21
    7.783949e-04      2.555173e-21
    7.827084e-04      2.569098e-21
    7.870458e-04      2.583097e-21
    7.914072e-04      2.597170e-21
    7.957928e-04      2.611317e-21
    8.002027e-04      2.625538e-21
    8.046370e-04      2.639835e-21
    8.090959e-04      2.654207e-21
    8.135795e-04      2.668655e-21
    8.180880e-04      2.683179e-21
    8.226214e-04      2.697780e-21
    8.271800e-04      2.712458e-21
    8.317638e-04      2.727213e-21
    8.363730e-04      2.742046e-21
    8.410078e-04      2.756957e-21
    8.456682e-04      2.771946e-21
    8.503545e-04      2.787015e-21
    8.550667e-04      2.802163e-21
    8.598051e-04      2.817391e-21
    8.645697e-04      2.832698e-21
    8.693607e-04      2.848087e-21
    8.741783e-04      2.863556e-21
    8.790225e-04      2.879107e-21
    8.838936e-04      2.894739e-21
    8.887917e-04      2.910454e-21
    8.937170e-04      2.926251e-21
    8.986695e-04      2.942131e-21
    9.036495e-04      2.958095e-21
    9.086570e-04      2.974143e-21
    9.136924e-04      2.990275e-21
    9.187556e-04      3.006491e-21
